Hour,Average,Week
2024-07-22 12:00:00,530.5433279588077,Week 28 a 31
2024-07-22 13:00:00,532.5461165851667,Week 28 a 31
2024-07-22 14:00:00,533.4340851984881,Week 28 a 31
2024-07-22 15:00:00,535.6288899288809,Week 28 a 31
2024-07-22 16:00:00,537.6486437933214,Week 28 a 31
2024-07-22 17:00:00,539.7722679818096,Week 28 a 31
2024-07-22 18:00:00,541.8775523404562,Week 28 a 31
2024-07-22 19:00:00,543.6926721283126,Week 28 a 31
2024-07-22 20:00:00,545.1852535577857,Week 28 a 31
2024-07-22 21:00:00,546.864737832781,Week 28 a 31
2024-07-22 22:00:00,549.0730123395059,Week 28 a 31
2024-07-22 23:00:00,551.0942500659768,Week 28 a 31
2024-07-23 00:00:00,552.6852304760394,Week 28 a 31
2024-07-23 01:00:00,552.9316106430708,Week 28 a 31
2024-07-23 02:00:00,554.1470949825887,Week 28 a 31
2024-07-23 03:00:00,554.994403237602,Week 28 a 31
2024-07-23 04:00:00,557.7927228153949,Week 28 a 31
2024-07-23 05:00:00,559.3485890761607,Week 28 a 31
2024-07-23 06:00:00,561.1291483152858,Week 28 a 31
2024-07-23 07:00:00,562.8879518269048,Week 28 a 31
2024-07-23 08:00:00,564.6763697065179,Week 28 a 31
2024-07-23 09:00:00,566.656987254375,Week 28 a 31
2024-07-23 10:00:00,568.4188888648982,Week 28 a 31
2024-07-23 11:00:00,569.9206026434822,Week 28 a 31
2024-07-23 12:00:00,571.7951939469642,Week 28 a 31
2024-07-23 13:00:00,573.9105100379762,Week 28 a 31
2024-07-23 14:00:00,576.2141944730952,Week 28 a 31
2024-07-23 15:00:00,578.7042997210667,Week 28 a 31
2024-07-23 16:00:00,580.847087303244,Week 28 a 31
2024-07-23 17:00:00,582.9720497942095,Week 28 a 31
2024-07-23 18:00:00,584.8724768866033,Week 28 a 31
2024-07-23 19:00:00,586.4401753408214,Week 28 a 31
2024-07-23 20:00:00,587.8182019372333,Week 28 a 31
2024-07-23 21:00:00,588.9466913721827,Week 28 a 31
2024-07-23 22:00:00,589.7216028589988,Week 28 a 31
2024-07-23 23:00:00,590.5581309304625,Week 28 a 31
2024-07-24 00:00:00,592.2010820183206,Week 28 a 31
2024-07-24 01:00:00,592.5735815468137,Week 28 a 31
2024-07-24 02:00:00,594.2733599635231,Week 28 a 31
2024-07-24 03:00:00,595.812451825634,Week 28 a 31
2024-07-24 04:00:00,597.5603908391935,Week 28 a 31
2024-07-24 05:00:00,599.3201478572417,Week 28 a 31
2024-07-24 06:00:00,601.1428932607821,Week 28 a 31
2024-07-24 07:00:00,602.9074005636251,Week 28 a 31
2024-07-24 08:00:00,604.9564494428453,Week 28 a 31
2024-07-24 09:00:00,607.1205152018869,Week 28 a 31
2024-07-24 10:00:00,609.5024443281512,Week 28 a 31
2024-07-24 11:00:00,614.016678336544,Week 28 a 31
2024-07-24 12:00:00,615.6655885082245,Week 28 a 31
2024-07-24 13:00:00,617.6875029277113,Week 28 a 31
2024-07-24 14:00:00,619.3104553697844,Week 28 a 31
2024-07-24 15:00:00,620.7283081433703,Week 28 a 31
2024-07-24 16:00:00,620.3456022944857,Week 28 a 31
2024-07-24 17:00:00,620.7472922669642,Week 28 a 31
2024-07-24 18:00:00,622.5096639260834,Week 28 a 31
2024-07-24 19:00:00,624.4237811593773,Week 28 a 31
2024-07-24 20:00:00,626.6012316775502,Week 28 a 31
2024-07-24 21:00:00,628.3091731733601,Week 28 a 31
2024-07-24 22:00:00,629.8735182863279,Week 28 a 31
2024-07-24 23:00:00,631.7047639642399,Week 28 a 31
2024-07-25 00:00:00,633.884367047756,Week 28 a 31
2024-07-25 01:00:00,634.00769110195,Week 28 a 31
2024-07-25 02:00:00,635.9406910730297,Week 28 a 31
2024-07-25 03:00:00,637.4110296070893,Week 28 a 31
2024-07-25 04:00:00,639.42694812325,Week 28 a 31
2024-07-25 05:00:00,641.4808708004583,Week 28 a 31
2024-07-25 06:00:00,643.5450646124583,Week 28 a 31
2024-07-25 07:00:00,645.6740524120119,Week 28 a 31
2024-07-25 08:00:00,647.8853575128988,Week 28 a 31
2024-07-25 09:00:00,650.1258998581905,Week 28 a 31
2024-07-25 10:00:00,652.6761827680298,Week 28 a 31
2024-07-25 11:00:00,657.5107235588333,Week 28 a 31
2024-07-25 12:00:00,658.957253644506,Week 28 a 31
2024-07-25 13:00:00,660.324080369506,Week 28 a 31
2024-07-25 14:00:00,662.0710047570893,Week 28 a 31
2024-07-25 15:00:00,664.0045002956589,Week 28 a 31
2024-07-25 16:00:00,665.3646897424827,Week 28 a 31
2024-07-25 17:00:00,667.0053966112238,Week 28 a 31
2024-07-25 18:00:00,669.2738569990954,Week 28 a 31
2024-07-25 19:00:00,671.4120141515733,Week 28 a 31
2024-07-25 20:00:00,672.9890648878052,Week 28 a 31
2024-07-25 21:00:00,674.0471318739822,Week 28 a 31
2024-07-25 22:00:00,675.558098751472,Week 28 a 31
2024-07-25 23:00:00,677.1061145405059,Week 28 a 31
2024-07-26 00:00:00,679.0851349587388,Week 28 a 31
2024-07-26 01:00:00,684.6516459348613,Week 28 a 31
2024-07-26 02:00:00,686.6756641688381,Week 28 a 31
2024-07-26 03:00:00,688.1917133304357,Week 28 a 31
2024-07-26 04:00:00,690.0468376278453,Week 28 a 31
2024-07-26 05:00:00,691.9075267372024,Week 28 a 31
2024-07-26 06:00:00,693.7323493035833,Week 28 a 31
2024-07-26 07:00:00,695.5526861197857,Week 28 a 31
2024-07-26 08:00:00,697.4403878857381,Week 28 a 31
2024-07-26 09:00:00,699.259638423964,Week 28 a 31
2024-07-28 00:00:00,762.3787627324226,Week 28 a 31
2024-07-28 01:00:00,762.0958104183393,Week 28 a 31
2024-07-28 02:00:00,763.8998957269642,Week 28 a 31
2024-07-28 03:00:00,765.3450834505463,Week 28 a 31
2024-07-28 04:00:00,766.7208930415786,Week 28 a 31
2024-07-28 05:00:00,768.1416264398089,Week 28 a 31
2024-07-28 06:00:00,770.165818519625,Week 28 a 31
2024-07-28 07:00:00,770.7396133156827,Week 28 a 31
2024-07-28 08:00:00,771.0557114075732,Week 28 a 31
2024-07-28 09:00:00,771.4991989751101,Week 28 a 31
2024-07-28 10:00:00,773.4978793729666,Week 28 a 31
2024-07-28 11:00:00,780.2199587080298,Week 28 a 31
2024-07-28 12:00:00,781.4107300611321,Week 28 a 31
2024-07-28 13:00:00,782.3628057057971,Week 28 a 31
2024-07-28 14:00:00,783.6107474750089,Week 28 a 31
2024-07-28 15:00:00,785.303839445566,Week 28 a 31
2024-07-28 16:00:00,787.7098691273095,Week 28 a 31
2024-07-28 17:00:00,788.4830541246541,Week 28 a 31
2024-07-28 18:00:00,791.5994803983451,Week 28 a 31
2024-07-28 19:00:00,790.2563894481827,Week 28 a 31
2024-07-28 20:00:00,791.3593508061851,Week 28 a 31
